group_id,timestamp,path_choice,intersect_radius,intersect_centers_x,intersect_centers_y,obstacle_x,obstacle_y,velocity_x,velocity_y,odom_vel,main_path_length,alternative_path_length,direction,collision
1298,25433.49,1,0.2324474900960922,[0.11620510369539261],[0.0414280891418457],[0.38754356257892697],[0.013972649167948159],[0.018085765902335495],[-0.00425423542876521],0.0402480661869049,2.997908592224121,3.188377141952514,False,False
1299,25498.65,1,0.3460386991500854,[-0.004043041728436947],[-0.265188068151474],[0.008313081619942153],[-0.28811125052990505],[-0.044119370626054054],[-0.0304171248611605],-0.0797517001628875,2.585762023925781,118.66311645507812,False,False
1299,25502.3,1,0.2645809054374695,[0.38121694326400757],[-0.07217716425657272],[0.4098203261944606],[-0.0727708885485372],[0.0721600437466378],[-0.049599309321725064],-0.0810645595192909,2.045819997787476,3.7158126831054688,False,False
1299,25505.65,1,0.6356001496315002,[0.10193847119808197],[-0.4342733919620514],[0.07972694256916402],[-0.37587113572504693],[-0.08461243351233647],[0.025810803415146924],0.1040120795369148,2.214059829711914,4.342662334442139,False,False
1300,25557.46,1,0.3348138034343719,[0.17135034501552582],[-0.02576632797718048],[0.20468860672074607],[0.014192146090326485],[-0.04512735779199201],[-0.06275288583439345],-0.0023136604577302,2.846879720687866,3.4406423568725586,False,False
1300,25558.54,0,0.3348138034343719,[0.17135034501552582],[-0.02576632797718048],[0.20468860672074607],[0.014192146090326485],[-0.04512735779199201],[-0.06275288583439345],0.0618475377559661,2.8084444999694824,2.8084444999694824,False,False
1300,25559.87,0,0.3348138034343719,[0.17135034501552582],[-0.02576632797718048],[0.20468860672074607],[0.014192146090326485],[-0.04512735779199201],[-0.06275288583439345],0.0885081887245178,2.849557876586914,2.7914340496063232,False,True
1301,25571.73,0,0.207828477025032,[0.07395916432142258],[-0.2245524525642395],[0.22244238508505867],[-0.28649064263756774],[-0.05308010411976947],[0.06056067103125463],-0.1023657321929931,2.892510175704956,2.8462538719177246,False,False
1301,25572.49,0,0.207828477025032,[0.07395916432142258],[-0.2245524525642395],[0.22244238508505867],[-0.28649064263756774],[-0.05308010411976947],[0.06056067103125463],-0.0979568213224411,2.885554313659668,2.885554313659668,False,False
1301,25573.29,0,0.207828477025032,[0.07395916432142258],[-0.2245524525642395],[0.22244238508505867],[-0.28649064263756774],[-0.05308010411976947],[0.06056067103125463],-0.1140975803136825,2.899571418762207,2.899571418762207,False,False
1302,25620.28,1,0.1872955113649368,[-0.16306744515895844],[0.14490532875061035],[-0.3450066069884752],[0.21528526852487706],[-0.007171059793986213],[-0.003022049173636736],-0.1131509840488433,3.07559871673584,84.2925796508789,False,False
1302,25622.62,1,0.2605601251125335,[-0.07079184055328369],[0.1430939882993698],[-0.1594135843254083],[0.27817001274221664],[-0.026749295487082256],[0.012903150526719111],-0.1148750185966491,2.8857340812683105,3.3540151119232178,False,False
1302,25627.16,1,0.3108876347541809,[0.03928947448730469],[0.10429789125919342],[0.3266947699322742],[0.35183613676695136],[0.02081184696200634],[0.04563958924648597],-0.1137740463018417,2.5109238624572754,3.652512311935425,False,False
1303,25741.84,1,0.4414524435997009,[0.20553790032863617],[0.1982692927122116],[0.17115609084429906],[0.19234459308039253],[-0.00574211326056375],[-0.0211666636463337],0.1016643196344375,2.407734632492065,3.163454532623291,True,False
1303,25750.05,0,0.19210846722126,[-0.21642223000526428],[-0.1796535700559616],[-0.2760283671974211],[-0.12851971422199737],[0.10223439823981233],[-0.09394469104098438],-0.0894152149558067,2.130147218704224,2.4681396484375,True,False
1303,25762.18,0,0.3660275638103485,[-0.1992395967245102],[-0.2243257313966751],[-0.22622779298769835],[-0.2603173261928946],[-0.0832372309536291],[0.01867701811341089],0.1364151984453201,2.1872379779815674,2.1872379779815674,True,False
